bell_state,noise_type,p,S,above_classical
Phi-,dephasing,0.4387755102040816,1.4354179306552404,False
Phi-,dephasing,0.44897959183673464,1.4289388181245843,False
Phi-,dephasing,0.4591836734693877,1.423637726054048,False
Phi-,dephasing,0.4693877551020408,1.4195146544436315,False
Phi-,dephasing,0.47959183673469385,1.4165696032933328,False
Phi-,dephasing,0.4897959183673469,1.4148025726031546,False
Phi-,dephasing,0.5,1.4142135623730954,False
Phi-,amplitude_damping,0.0,2.828427124746189,True
Phi-,amplitude_damping,0.01020408163265306,2.7854293779518384,True
Phi-,amplitude_damping,0.02040816326530612,2.7430206413875475,True
Phi-,amplitude_damping,0.030612244897959183,2.701200915053316,True
Phi-,amplitude_damping,0.04081632653061224,2.6599701989491438,True
Phi-,amplitude_damping,0.0510204081632653,2.6193284930750327,True
Phi-,amplitude_damping,0.061224489795918366,2.5792757974309795,True
Phi-,amplitude_damping,0.07142857142857142,2.539812112016986,True
Phi-,amplitude_damping,0.08163265306122448,2.5009374368330533,True
Phi-,amplitude_damping,0.09183673469387754,2.4626517718791794,True
Phi-,amplitude_damping,0.1020408163265306,2.424955117155365,True
Phi-,amplitude_damping,0.11224489795918366,2.38784747266161,True
Phi-,amplitude_damping,0.12244897959183673,2.351328838397915,True
Phi-,amplitude_damping,0.13265306122448978,2.3153992143642794,True
Phi-,amplitude_damping,0.14285714285714285,2.280058600560704,True
Phi-,amplitude_damping,0.1530612244897959,2.2453069969871873,True
Phi-,amplitude_damping,0.16326530612244897,2.211144403643731,True
Phi-,amplitude_damping,0.17346938775510204,2.1775708205303337,True
Phi-,amplitude_damping,0.18367346938775508,2.1445862476469966,True
Phi-,amplitude_damping,0.19387755102040816,2.1121906849937178,True
Phi-,amplitude_damping,0.2040816326530612,2.0803841325705,True
Phi-,amplitude_damping,0.21428571428571427,2.0491665903773413,True
Phi-,amplitude_damping,0.22448979591836732,2.0185380584142423,True
Phi-,amplitude_damping,0.2346938775510204,1.9884985366812025,False
Phi-,amplitude_damping,0.24489795918367346,1.9590480251782223,False
Phi-,amplitude_damping,0.25510204081632654,1.9301865239053027,False
Phi-,amplitude_damping,0.26530612244897955,1.901914032862442,False
Phi-,amplitude_damping,0.2755102040816326,1.874230552049641,False
Phi-,amplitude_damping,0.2857142857142857,1.847136081466899,False
Phi-,amplitude_damping,0.29591836734693877,1.820630621114217,False
Phi-,amplitude_damping,0.3061224489795918,1.794714170991595,False
Phi-,amplitude_damping,0.31632653061224486,1.7693867310990319,False
Phi-,amplitude_damping,0.32653061224489793,1.7446483014365293,False
Phi-,amplitude_damping,0.336734693877551,1.7204988820040854,False
Phi-,amplitude_damping,0.3469387755102041,1.6969384728017018,False
Phi-,amplitude_damping,0.3571428571428571,1.6739670738293775,False
Phi-,amplitude_damping,0.36734693877551017,1.6515846850871125,False
Phi-,amplitude_damping,0.37755102040816324,1.6297913065749075,False
Phi-,amplitude_damping,0.3877551020408163,1.608586938292762,False
Phi-,amplitude_damping,0.39795918367346933,1.5879715802406764,False
Phi-,amplitude_damping,0.4081632653061224,1.5679452324186494,False
Phi-,amplitude_damping,0.4183673469387755,1.5485078948266828,False
Phi-,amplitude_damping,0.42857142857142855,1.5296595674647757,False
Phi-,amplitude_damping,0.4387755102040816,1.5114002503329287,False
Phi-,amplitude_damping,0.44897959183673464,1.4937299434311406,False
Phi-,amplitude_damping,0.4591836734693877,1.4766486467594122,False
Phi-,amplitude_damping,0.4693877551020408,1.4601563603177437,False
Phi-,amplitude_damping,0.47959183673469385,1.4442530841061345,False
Phi-,amplitude_damping,0.4897959183673469,1.428938818124585,False
Phi-,amplitude_damping,0.5,1.4142135623730945,False
Psi+,depolarizing,0.0,2.828427124746189,True
Psi+,depolarizing,0.01020408163265306,2.799565623473269,True
